ID,LABEL
1,True
2,True
3,True
4,True
5,True
6,True
7,True
8,True
9,True
10,True
11,True
12,True
13,True
14,True
15,True
16,True
17,True
18,True
19,True
20,True
21,True
22,True
23,True
24,True
25,True
26,True
27,True
28,True
29,True
30,True
31,True
32,True
33,True
34,True
35,True
36,True
37,True
38,True
39,True
40,True
41,True
42,True
43,True
44,True
45,True
46,True
47,True
48,False
49,True
50,False
51,True
52,False
53,True
54,True
55,True
56,False
57,False
58,True
59,False
60,True
61,True
62,False
63,True
64,True
65,True
66,False
67,True
68,True
69,True
70,False
71,True
72,False
73,False
74,True
75,True
76,False
77,False
78,True
79,True
80,True
81,True
82,False
83,True
84,True
85,False
86,True
87,True
88,True
89,True
90,True
91,False
92,True
93,True
94,True
95,True
96,False
97,True
98,True
99,True
100,False
